Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	135	0
1	127	0
2	119	0
3	113	0
4	103	0
5	94	0
6	87	0
7	81	0
8	75	0
9	69	0
10	65	0
11	61	0
12	57	0
13	55	0
14	53	0
15	53	0
16	54	0
17	56	0
18	59	0
19	63	0
20	67	0
21	73	0
22	79	0
23	85	0
24	93	0
25	101	0
26	109	0
27	117	0
28	124	0
29	133	0
30	140	0
31	147	0
32	154	0
33	160	0
34	166	0
35	171	0
36	175	0
37	179	0
38	181	0
39	182	0
40	182	0
41	181	0
42	179	0
43	177	0
44	173	0
45	168	0
46	162	0
47	157	0
48	149	0
49	143	0
50	135	0
51	127	0
52	119	0
53	112	0
54	103	0
55	95	0
56	87	0
57	81	0
58	75	0
59	69	0
60	64	0
61	61	0
62	57	0
63	55	0
64	53	0
65	54	0
66	54	0
67	56	0
68	59	0
69	63	0
70	67	0
71	73	0
72	79	0
73	86	0
74	93	0
75	101	0
76	109	0
77	117	0
78	125	0
79	133	0
80	140	0
81	147	0
82	154	0
83	161	0
84	166	0
85	171	0
86	175	0
87	178	0
88	181	0
89	181	0
90	182	0
91	181	0
92	179	0
93	176	0
94	173	0
95	168	0
96	162	0
97	157	0
98	150	0
99	142	0
100	135	0
101	127	0
102	119	0
103	111	0
104	103	0
105	95	0
106	88	0
107	81	0
108	75	0
109	69	0
110	64	0
111	61	0
112	57	0
113	55	0
114	54	0
115	53	0
116	54	0
117	57	0
118	59	0
119	63	0
120	67	0
121	73	0
122	79	0
123	85	0
124	93	0
125	101	0
126	109	0
127	117	0
128	124	0
129	132	0
130	140	0
131	147	0
132	155	0
133	161	0
134	166	0
135	171	0
136	175	0
137	178	0
138	181	0
139	181	0
140	182	0
141	181	0
142	179	0
143	177	0
144	173	0
145	169	0
146	163	0
147	157	0
148	150	0
149	142	0
150	135	0
151	126	0
152	118	0
153	111	0
154	103	0
155	95	0
156	88	0
157	81	0
158	75	0
159	69	0
160	65	0
161	61	0
162	57	0
163	55	0
164	53	0
165	54	0
166	55	0
167	55	0
168	59	0
169	63	0
170	67	0
171	73	0
172	79	0
173	86	0
174	93	0
175	101	0
176	108	0
177	117	0
178	124	0
179	132	0
180	140	0
181	147	0
182	155	0
183	161	0
184	166	0
185	171	0
186	175	0
187	179	0
188	181	0
189	181	0
190	182	0
191	181	0
192	179	0
193	176	0
194	172	0
195	168	0
196	162	0
197	157	0
198	150	0
199	142	0
200	134	0
201	127	0
202	119	0
203	112	0
204	103	0
205	96	0
206	88	0
207	81	0
208	74	0
209	69	0
210	65	0
211	61	0
212	57	0
213	55	0
214	53	0
215	53	0
216	54	0
217	56	0
218	59	0
219	63	0
220	67	0
221	73	0
222	79	0
223	86	0
224	93	0
225	101	0
226	108	0
227	117	0
228	125	0
229	133	0
230	140	0
231	147	0
232	155	0
233	161	0
234	166	0
235	171	0
236	175	0
237	178	0
238	181	0
239	182	0
240	182	0
241	181	0
242	179	0
243	177	0
244	173	0
245	168	0
246	162	0
247	157	0
248	150	0
249	142	0
250	134	0
251	128	0
252	119	0
253	111	0
254	102	0
255	96	0
256	88	0
257	81	0
258	75	0
259	69	0
260	64	0
261	60	0
262	57	0
263	54	0
264	53	0
265	54	0
266	54	0
267	57	0
268	59	0
269	63	0
270	67	0
271	73	0
272	79	0
273	86	0
274	93	0
275	101	0
276	109	0
277	117	0
278	125	0
279	133	0
280	141	0
281	147	0
282	155	0
283	160	0
284	166	0
285	171	0
286	175	0
287	179	0
288	180	0
289	182	0
290	182	0
291	181	0
292	179	0
293	176	0
294	173	0
295	168	0
296	163	0
297	157	0
298	149	0
299	142	0
300	135	0
301	126	0
302	119	0
303	111	0
304	103	0
305	94	0
306	87	0
307	81	0
308	75	0
309	69	0
310	65	0
311	61	0
312	57	0
313	55	0
314	53	0
315	53	0
316	54	0
317	56	0
318	59	0
319	63	0
320	67	0
321	73	0
322	79	0
323	86	0
324	93	0
325	101	0
326	109	0
327	116	0
328	124	0
329	133	0
330	141	0
331	147	0
332	155	0
333	161	0
334	166	0
335	171	0
336	175	0
337	179	0
338	181	0
339	181	0
340	182	0
341	181	0
342	179	0
343	177	0
344	173	0
345	168	0
346	162	0
347	157	0
348	149	0
349	142	0
350	135	0
351	127	0
352	119	0
353	111	0
354	103	0
355	95	0
356	88	0
357	81	0
358	75	0
359	69	0
360	65	0
361	61	0
362	57	0
363	55	0
364	54	0
365	54	0
366	54	0
367	57	0
368	59	0
369	63	0
370	67	0
371	73	0
372	79	0
373	86	0
374	93	0
375	101	0
376	109	0
377	117	0
378	124	0
379	133	0
380	141	0
381	147	0
382	154	0
383	161	0
384	166	0
385	171	0
386	175	0
387	179	0
388	181	0
389	181	0
390	182	0
391	181	0
392	179	0
393	176	0
394	172	0
395	169	0
396	162	0
397	157	0
398	149	0
399	142	0
400	135	0
401	126	0
402	119	0
403	111	0
404	103	0
405	96	0
406	88	0
407	81	0
408	75	0
409	69	0
410	65	0
411	61	0
412	57	0
413	55	0
414	53	0
415	53	0
416	54	0
417	56	0
418	59	0
419	63	0
420	67	0
421	73	0
422	79	0
423	86	0
424	93	0
425	101	0
426	109	0
427	117	0
428	124	0
429	133	0
430	140	0
431	147	0
432	155	0
433	161	0
434	166	0
