Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	103	0
1	181	0
2	77	0
3	93	0
4	182	0
5	85	0
6	83	0
7	182	0
8	93	0
9	77	0
10	181	0
11	103	0
12	69	0
13	177	0
14	113	0
15	63	0
16	172	0
17	123	0
18	58	0
19	166	0
20	133	0
21	55	0
22	159	0
23	142	0
24	53	0
25	151	0
26	152	0
27	53	0
28	142	0
29	159	0
30	55	0
31	133	0
32	167	0
33	59	0
34	122	0
35	173	0
36	63	0
37	113	0
38	177	0
39	69	0
40	102	0
41	181	0
42	77	0
43	93	0
44	182	0
45	85	0
46	83	0
47	181	0
48	93	0
49	76	0
50	181	0
51	103	0
52	69	0
53	177	0
54	113	0
55	63	0
56	172	0
57	123	0
58	59	0
59	167	0
60	133	0
61	55	0
62	159	0
63	143	0
64	53	0
65	151	0
66	152	0
67	53	0
68	142	0
69	159	0
70	55	0
71	133	0
72	167	0
73	59	0
74	122	0
75	173	0
76	63	0
77	113	0
78	177	0
79	69	0
80	103	0
81	181	0
82	77	0
83	93	0
84	182	0
85	85	0
86	83	0
87	182	0
88	93	0
89	76	0
90	180	0
91	103	0
92	69	0
93	177	0
94	113	0
95	63	0
96	173	0
97	123	0
98	58	0
99	166	0
100	133	0
101	55	0
102	159	0
103	143	0
104	53	0
105	151	0
106	152	0
107	54	0
108	142	0
109	160	0
110	55	0
111	133	0
112	167	0
113	59	0
114	123	0
115	173	0
116	63	0
117	113	0
118	177	0
119	69	0
120	103	0
121	180	0
122	76	0
123	93	0
124	182	0
125	85	0
126	83	0
127	182	0
128	93	0
129	77	0
130	180	0
131	103	0
132	69	0
133	177	0
134	113	0
135	63	0
136	173	0
137	123	0
138	58	0
139	167	0
140	133	0
141	55	0
142	159	0
143	143	0
144	53	0
145	151	0
146	151	0
147	53	0
148	142	0
149	160	0
150	55	0
151	133	0
152	167	0
153	59	0
154	123	0
155	173	0
156	63	0
157	113	0
158	177	0
159	69	0
160	103	0
161	181	0
162	77	0
163	93	0
164	182	0
165	85	0
166	83	0
167	182	0
168	93	0
169	76	0
170	181	0
171	103	0
172	69	0
173	177	0
174	113	0
175	63	0
176	173	0
177	123	0
178	58	0
179	166	0
180	133	0
181	55	0
182	159	0
183	143	0
184	53	0
185	151	0
186	152	0
187	54	0
188	142	0
189	160	0
190	56	0
191	133	0
192	167	0
193	59	0
194	122	0
195	173	0
196	63	0
197	113	0
198	177	0
199	69	0
200	102	0
201	181	0
202	77	0
203	93	0
204	182	0
205	85	0
206	83	0
207	181	0
208	93	0
209	77	0
210	181	0
211	103	0
212	69	0
213	177	0
214	113	0
215	63	0
216	173	0
217	123	0
218	58	0
219	166	0
220	133	0
221	55	0
222	160	0
223	143	0
224	53	0
225	151	0
226	152	0
227	53	0
228	142	0
229	160	0
230	55	0
231	133	0
232	167	0
233	59	0
234	122	0
235	173	0
236	63	0
237	113	0
238	177	0
239	69	0
240	103	0
241	181	0
242	77	0
243	93	0
244	182	0
245	85	0
246	83	0
247	181	0
248	93	0
249	77	0
250	181	0
251	103	0
252	69	0
253	177	0
254	113	0
255	63	0
256	172	0
257	123	0
258	58	0
259	167	0
260	133	0
261	55	0
262	159	0
263	143	0
264	53	0
265	151	0
266	152	0
267	54	0
268	141	0
269	160	0
270	55	0
271	132	0
272	167	0
273	58	0
274	122	0
275	173	0
276	63	0
277	113	0
278	177	0
279	69	0
280	102	0
281	181	0
282	77	0
283	93	0
284	182	0
285	85	0
286	83	0
287	182	0
288	93	0
289	76	0
290	181	0
291	103	0
292	70	0
293	177	0
294	113	0
295	63	0
296	172	0
297	123	0
298	57	0
299	166	0
300	133	0
301	55	0
302	159	0
303	143	0
304	53	0
305	151	0
306	152	0
307	53	0
308	142	0
309	160	0
310	55	0
311	133	0
312	167	0
313	59	0
314	123	0
315	173	0
316	63	0
317	113	0
318	177	0
319	69	0
320	102	0
321	181	0
322	77	0
323	93	0
324	181	0
325	85	0
326	84	0
327	182	0
328	93	0
329	76	0
330	181	0
331	103	0
332	69	0
333	177	0
334	113	0
335	63	0
336	172	0
337	123	0
338	58	0
339	166	0
340	133	0
341	54	0
342	159	0
343	143	0
344	54	0
345	150	0
346	151	0
347	53	0
348	142	0
349	160	0
350	55	0
351	133	0
352	167	0
353	59	0
354	122	0
355	173	0
356	63	0
357	113	0
358	177	0
359	69	0
360	103	0
361	181	0
362	77	0
363	93	0
364	182	0
365	85	0
366	83	0
367	182	0
368	93	0
369	76	0
370	180	0
371	103	0
372	69	0
373	177	0
374	113	0
375	63	0
376	172	0
377	123	0
378	58	0
379	166	0
380	133	0
381	54	0
382	159	0
383	143	0
384	53	0
385	151	0
386	152	0
387	53	0
388	142	0
389	159	0
390	55	0
391	133	0
392	167	0
393	59	0
394	123	0
395	173	0
396	63	0
397	113	0
398	177	0
399	69	0
400	103	0
401	181	0
402	76	0
403	93	0
404	182	0
405	85	0
406	83	0
407	182	0
408	94	0
409	77	0
410	181	0
411	103	0
412	69	0
413	177	0
414	113	0
415	63	0
416	173	0
417	123	0
418	58	0
419	166	0
420	133	0
421	55	0
422	159	0
423	143	0
424	53	0
425	151	0
426	153	0
427	54	0
428	142	0
429	159	0
430	55	0
431	133	0
432	167	0
433	59	0
434	123	0
435	173	0
436	63	0
437	113	0
438	177	0
439	69	0
440	103	0
441	181	0
442	76	0
443	93	0
444	182	0
445	85	0
446	83	0
447	182	0
448	93	0
449	76	0
450	180	0
451	103	0
452	69	0
453	177	0
454	113	0
455	63	0
456	173	0
457	123	0
458	58	0
459	166	0
460	133	0
461	55	0
462	159	0
463	142	0
464	53	0
465	151	0
466	151	0
467	54	0
468	142	0
469	159	0
470	55	0
471	133	0
472	167	0
473	59	0
474	123	0
475	173	0
476	63	0
477	113	0
