Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	53	0
1	53	0
2	53	0
3	54	0
4	54	0
5	54	0
6	54	0
7	53	0
8	53	0
9	54	0
10	54	0
11	53	0
12	54	0
13	53	0
14	53	0
15	53	0
16	53	0
17	54	0
18	53	0
19	54	0
20	54	0
21	54	0
22	53	0
23	53	0
24	54	0
25	54	0
26	54	0
27	53	0
28	54	0
29	53	0
30	54	0
31	54	0
32	54	0
33	53	0
34	53	0
35	54	0
36	54	0
37	54	0
38	53	0
39	54	0
40	53	0
41	54	0
42	54	0
43	54	0
44	53	0
45	54	0
46	54	0
47	54	0
48	54	0
49	54	0
50	54	0
51	53	0
52	53	0
53	53	0
54	54	0
55	54	0
56	54	0
57	53	0
58	54	0
59	54	0
60	54	0
61	53	0
62	54	0
63	53	0
64	54	0
65	54	0
66	53	0
67	54	0
68	54	0
69	53	0
70	54	0
71	162	0
72	183	0
73	182	0
74	182	0
75	182	0
76	182	0
77	182	0
78	182	0
79	182	0
80	182	0
81	182	0
82	182	0
83	182	0
84	182	0
85	182	0
86	182	0
87	182	0
88	182	0
89	182	0
90	182	0
91	182	0
92	182	0
93	182	0
94	183	0
95	182	0
96	182	0
97	182	0
98	182	0
99	182	0
100	182	0
101	70	0
102	53	0
103	54	0
104	54	0
105	54	0
106	53	0
107	54	0
108	54	0
109	54	0
110	54	0
111	54	0
112	54	0
113	54	0
114	53	0
115	54	0
116	54	0
117	53	0
118	54	0
119	54	0
120	53	0
121	54	0
122	53	0
123	53	0
124	54	0
125	54	0
126	53	0
127	54	0
128	53	0
129	53	0
130	53	0
131	54	0
132	53	0
133	54	0
134	54	0
135	54	0
136	54	0
137	54	0
138	54	0
139	53	0
140	54	0
141	53	0
142	54	0
143	54	0
144	54	0
145	53	0
146	53	0
147	54	0
148	54	0
149	53	0
150	54	0
151	54	0
152	54	0
153	54	0
154	53	0
155	54	0
156	54	0
157	54	0
158	54	0
159	53	0
160	53	0
161	53	0
162	53	0
163	53	0
164	54	0
165	54	0
166	54	0
167	53	0
168	53	0
169	53	0
170	54	0
171	54	0
172	54	0
173	53	0
174	53	0
175	54	0
176	53	0
177	53	0
178	54	0
179	54	0
180	54	0
181	53	0
182	54	0
183	53	0
184	54	0
185	54	0
186	54	0
187	53	0
188	53	0
189	54	0
190	54	0
191	54	0
192	53	0
193	54	0
194	54	0
195	54	0
196	54	0
197	54	0
198	54	0
199	54	0
200	53	0
201	54	0
202	54	0
203	54	0
204	54	0
205	54	0
206	53	0
207	54	0
208	53	0
209	53	0
210	54	0
211	54	0
212	54	0
213	54	0
214	53	0
215	54	0
216	53	0
217	54	0
218	54	0
219	54	0
220	54	0
221	53	0
222	54	0
223	54	0
224	53	0
225	54	0
226	54	0
227	54	0
228	54	0
229	54	0
230	54	0
231	161	0
232	183	0
233	182	0
234	182	0
235	182	0
236	182	0
237	183	0
238	182	0
239	182	0
240	182	0
241	182	0
242	182	0
243	183	0
244	182	0
245	183	0
246	182	0
247	182	0
248	182	0
249	182	0
250	182	0
251	182	0
252	182	0
253	182	0
254	182	0
255	182	0
256	182	0
257	182	0
258	182	0
259	182	0
260	182	0
261	70	0
262	54	0
263	53	0
264	54	0
265	54	0
266	54	0
267	54	0
268	54	0
269	53	0
270	54	0
271	53	0
272	54	0
273	54	0
274	53	0
275	53	0
276	54	0
277	54	0
278	53	0
279	53	0
280	53	0
281	53	0
282	54	0
283	54	0
284	54	0
285	53	0
286	53	0
287	53	0
288	54	0
289	53	0
290	54	0
291	53	0
292	54	0
293	54	0
294	53	0
295	54	0
296	53	0
297	53	0
298	54	0
299	54	0
300	53	0
301	53	0
302	53	0
303	54	0
304	54	0
305	53	0
306	54	0
307	54	0
308	54	0
309	54	0
310	54	0
311	54	0
312	54	0
313	54	0
314	54	0
315	54	0
316	54	0
317	54	0
318	54	0
319	54	0
320	53	0
321	54	0
322	53	0
323	54	0
324	54	0
325	54	0
326	53	0
327	54	0
328	54	0
329	54	0
330	54	0
331	54	0
332	53	0
333	53	0
334	53	0
335	53	0
336	54	0
337	54	0
338	53	0
339	53	0
340	53	0
341	53	0
342	53	0
343	54	0
344	53	0
345	53	0
346	53	0
347	54	0
348	54	0
349	53	0
350	53	0
351	53	0
352	54	0
353	54	0
354	54	0
355	54	0
356	54	0
357	54	0
358	54	0
359	54	0
360	53	0
361	54	0
362	54	0
363	54	0
364	54	0
365	54	0
366	54	0
367	54	0
368	54	0
369	53	0
370	54	0
371	54	0
372	53	0
373	53	0
374	54	0
375	54	0
376	54	0
377	54	0
378	54	0
379	53	0
380	54	0
381	54	0
382	53	0
383	54	0
384	54	0
385	54	0
386	53	0
387	54	0
388	54	0
389	54	0
390	54	0
391	162	0
392	183	0
393	182	0
394	182	0
395	183	0
